Character	Canonical Name	Gender	Address 1	Address 2	Address 3	Politics	Marital Status	Opponent	Typical Activity	Vehicle of Choice	Weapon of Choice	Seen Wearing	Domains	Genres	Fictive Status	Portrayed By	Creator	Creation	Group Affiliation	Fictional World	Negative Talking Points	Positive Talking Points	Category	Archetypes
Cary Grant	Cary Grant	male	Beverly Hills, Hollywood	California	USA		married	Gary Cooper	starring in romantic comedies	MG Magnette, Sunbeam Alpine	arsenic and old lace	dapper suit	Acting, Hollywood	movies							glib, superficial, facile, pretentious	suave, sophisticated, witty, urbane, debonair, charming, charming	Actor	
Giacomo Casanova	Giacomo Casanova	male	Palazzo Malipiero	Venice	Italy	libertarian	single		chasing after women, seducing women, womanizing	horse-drawn carriage	aphrodisiac overdose	silk trousers	Italian culture, Italian culture, Romance	history, culture		Heath Ledger					lusty, priapic, adulterous, womanizing	suave, persuasive, persistent, romantic, charming	Lover, Writer, Diarist	
Charlemagne	Charlemagne	male			Francia				running an empire, consolidating an empire	sedan chair	broad sword	decorative suit of armor	the Medieval world, European history	history, culture, politics					The Holy Roman Empire		controlling, overly-ambitious, ruthless	powerful, successful, dominant, unifying, book-loving	Emperor, Politician, Conqueror	
Charles Atlas	Charles Atlas	male	Long Beach	New York City	USA	right			working out, bodybuilding		roundhouse punch	speedos	Bodybuilding	sport							musclebound, stiff, egotistical, self-promoting	muscular, well-built, athletic, handsome, strong, toned	Bodybuilder, Businessman	
Charles Darwin	Charles Darwin	male	Down House	Downe	UK	left	married	Alfred Russel Wallace, Richard Owen	explaining evolution, promoting Darwinism, explaining natural selection	HMS Beagle	dinosaur tooth	starched collar	the Natural Sciences, Evolution	science				Natural Selection	Darwinism		shy	insightful, modest, clever, intelligent, brave, original	Scientist, Evolutionary Biologist, Pioneer	
Charles Dickens	Charles Dickens	male	Gads Hill Place	Rochester	UK	left	married	William Makepeace Thackeray	writing about social problems, writing serialized stories	horse-drawn carriage	workhouse sledgehammer	starched collar, top hat, Astrakhan coat	Victorian literature	literature		Ralph Fiennes		David Copperfield, Great Expectations, Oliver Twist, A Christmas Carol			dense, long-winded, sesquipedalian	detail-oriented, clever, eloquent, engrossing	Writer, Novelist	
Charles Foster Kane	Charles Fostee-Kane	male	Xanadu Mansion	California	USA	right	married	Orson Welles	running a newspaper empire, publishing newspapers, running for governor, promoting yellow journalism	Rosebud sled	Rosebud sleigh runner	three-piece suit	the Newspaper industry, Citizen Kane	business, politics, publishing	fictional	Orson Welles	Orson Welles	Xanadu	Xanadu	Citizen Kane	arrogant, unsophisticated, crass, manipulative, boastful, megalomaniacal, egotistical, hypocritical	rich, powerful, ambitious	Billionaire, Media Tycoon, Publisher	Mus 
Charlie Brown	Charlie Brown	male	Minneapolis	Minnesota	USA		single	Lucy van Pelt	playing baseball, worrying about life	sleigh	baseball bat	short pants	Peanuts, American culture	comics, cartoons, culture	fictional		Charles M. Schulz			Peanuts	neurotic, ineffective, whiny, weak	humble, modest, decent	Child, Schoolkid	Scr, Edh
Charlie Chaplin	Charlie Chaplin	male	Walworth	London	UK	left	married, divorced, married	Buster Keaton, J. Edgar Hoover	twirling a cane, rescuing kids, struggling with modern times	1929 Pierce-Arrow	twirling cane	tramp suit, baggy trousers	Black-and-white movies, Comedy, Hollywood	comedy				The Tramp	United Artists		unfaithful, adulterous,	funny, witty, graceful, entertaining, creative, lovable	Actor, Comedian, Director	
Charlie Parker	Charlie Parker	male	151 Avenue B	New York City	USA				playing jazz saxophone	New York taxicab	saxophone, hypodermic needle		Jazz	music							drug-addled, unreliable,	tuneful, melodic, passionate, groovy	Saxophonist, Musician	
Che Guevara	Che Guevara	male	Rosario	Buenos Aires	South America	left		Fidel Castro	spreading revolution, promoting communism, promoting socialism	500cc Norton motorcycle	Argentinian steak knife	Basque beret, military fatigues	Cuban politics, the Cuban revolution, Cuba	politics, history		Benicio del Toro		The Cuban Revolution	Communist Party of Cuba		violent,	brave, inspiring, handsome, iconic, zealous	Rebel, Revolutionary, Politician	
Christian Bale	Christian Bale	male	Beverly Hills, Hollywood	California	USA			Leonardo DiCaprio	starring in action movies, wearing a batsuit	Batmobile	foul-mouthed rant	Batman costume, black cape	Hollywood, Acting	movies							aggressive, unstable, moody, mouthy,	passionate, committed, compelling, uncompromising, intense	Actor	
Christopher Columbus	Christopher Columbus	male		Genoa	Italy			Martin Alonso Pinzon	searching for a new world, exploring the new world	Nina		sailor hat	the Americas, the Age of Discovery	history, exploration		Gérard Depardieu		The New World			opportunistic, unscrupulous, overambitious	farseeing, adventurous, intrepid, bold, driven	Explorer, Discoverer, Pioneer	
Christopher Hitchens	Christopher Hitchens	male		Washington D.C.	USA	left	married	Jerry Falwell, Henry Kissinger, Mother Teresa	ranting about politics		righteous indignation		Political criticism, the Left	politics							argumentative, opinionated, rude, glib	passionate, eloquent, witty, humorous, insightful, courageous	Writer, Pundit	
Chuck Norris	Chuck Norris	male	Navasota	Texas	USA	right	married		starring in action movies	Jeep Wrangler	wooden acting,	khakis, camo gear	Hollywood, Acting, Action movies	movies							dense, inarticulate, simple-minded, gung-ho, wooden, stiff	agile, strong, determined, tough	Actor, Martial Artist	
Cicero	Cicero	male		Rome	Italy		married	Julius Caesar	giving speeches, defending plaintiffs	sedan chair	gilded oratory	toga	Oratory, Rhetoric, Ancient Rome, Roman politics	history, culture, politics					The Roman Empire		ambitious, political	eloquent, inspiring, intellectual, educated, logical	Orator, Politician, Lawyer	
Clark Gable	Clark Gable	male	Beverly Hills, Hollywood	California	USA		married		starring in Hollywood movies,	1935 Duesenberg JN	lantern jaw	sharp suit	Hollywood, Acting	movies							shallow, wooden	handsome, chiseled, charismatic	Actor	
Clark Kent	Clark Kent	male	The Daily Planet	Metropolis	USA		married to Lois Lane	Lex Luthor	reporting for The Daily Planet	New York taxicab	sharpened pencil, super-strength, heat vison	bad suit, spectacles	DC Comics, Metropolis, the Daily Planet	comics, movies	fictional	Christopher Reeve, Henry Cavill, George Reeves	Jerry Siegel, Joe Shuster		The Daily Planet	Superman	shy, humble, inconfident, dull	reliable, decent, hard-working,	Reporter, Journalist	Edh
Cleopatra	Cleopatra	female	Alexandria	Egypt			married to Julius Caesar	Caesar Augustus	seducing emperors	sedan chair	poison asp	white satin dress, gold tiara	Ancient Egypt,	history, culture, politics		Elizabeth Taylor					overambitious, bossy, manipulative	beautiful, seductive, exotic, cunning	Queen, Political Leader	
Clint Eastwood	Clint Eastwood	male	Carmel, Big Sur	California	USA	right	married		starring in action movies, directing movies	Gran Torino	six shooter, .357 Magnum	poncho, cowboy hat	Hollywood, Acting	movies							terse, gruff, surly, intimidating, grizzled	tough, handsome, strong, rugged	Actor, Director, Pianist	
Colin Farrell	Colin Farrell	male	Castleknock	Dublin	Ireland		single	Jamie Foxx	starring in Hollywood movies, starring in indy movies, womanizing, making unauthorized sex tapes	old Ford Bronco	bad boy charm	scruffy T-shirt	Hollywood, Acting	movies							vulgar, brash, uncouth, womanizing	handsome, charming, affable, rugged	Actor, Lothario	
Colonel Sanders	Colonel Sanders	male	Louisville	Kentucky	USA	right	married	Ronald McDonald, Ray Kroc	deep-frying chicken, selling fried chicken	KFC truck	high-fat diet, greasy drumstick	Kentucky bow tie, goatee, white seersucker suit	KFC, Fried Chicken, Southern Food, Fast Food	business				Kentucky Fried Chicken	Kentucky Fried Chicken		manipulative, old	charming, polite, avuncular	Businessman, Restauranteur	
Confucius	Confucius	male		Shandong	China		married		teaching philosophy, spreading philosophy, teaching the next generation	sedan chair	poisoned fortune cookie, sharpened chop stick	straw hat, oriental robe	Chinese philosophy, Eastern philosophy	philosophy				Confucianism			preachy, stern, bossy, humorless	wise, erudite, farseeing, eloquent	Philosopher	
Copernicus	Copernicus	male		Torun	Poland		single	Ptolemy	promoting Heliocentrism,	horse-drawn carriage	wooden ruler	cowl	Astronomy, the Cosmos, Medieval science	science				Heliocentrism			timid, overly-cautious	insightful, systematic, revolutionary	Scientist, Monk, Pioneer, Heretic	
Cosmo Kramer	Cosmo Kramer	male	Manhattan	New York City	USA		single		mooching from neighbors, developing crazy schemes	New York taxicab	bad breath, body odor,	bowling shirt, loud shirt	The Seinfeld Chronicles, Comedy	television, culture	fictional	Michael Richards	Jerry Seinfeld, Larry David	Kramerica	Kramerica	Seinfeld	scrounging, troublesome, madcap, crazy, irksome, nutty, tactless	affable, neighborly, loyal	Scrounger, Neighbour	Scr, Mug, Red
Courtney Love	Courtney Love	female	San Francisco	California	USA	left	widowed by Kurt Cobain	Dave Grohl	playing grungy music	pink Cadillac	pepper spray, Taser gun, knee kick	bin bag	Rock music, Alternative Rock	music, singing				Hole	Hole		tacky, sleazy, vulgar, unattractive, shameless	forceful, confident, assertive, uninhibited	Rock Singer, Singer, Widow	
Croesus	Croesus	male			Lydia	right			collecting treasures, ruining an empire	sedan chair	golden sword	gold toga	Lydia, the Ancient world	history, culture, politics							decadent, spoiled, greedy, corrupt	rich, privileged, wealthy, powerful	King, Billionaire	
Herodotus	Herodotus	male	Halicarnassus	Turkey					writing about history, recording history	sedan chair	Greek fire	toga	Ancient Greece, the Ancient world	history, culture							critical, overly-folksy	systematic, scholarly, well-informed, insightful, historically-reliable, judicious	Historian, Writer	
Daffy Duck	Daffy Duck	male	Duckberg	California	USA		single	Bugs Bunny	chasing rabbits, spitting while speaking	cartoon jalopy	Quack Fu		Looney Tunes, Warner Bros animation	cartoons	fictional	Mel Blanc	Chuck Jones			Looney Tunes	lisping, brash, combative, slobbery, insecure, paranoid	zany, jealous, daffy	Duck	Scr, Kz
Dame Edna Everage	Edna Everage	female	Moonee Ponds	Melbourne	Australia		married	Sir Les Patterson	moaning about men	pink limousine	lady's fan	ball gown	Australia, Drag, Cross-Dressing	comedy, television		Barry Humphreys	Barry Humphries				sarcastic, sharp-tongued, ugly	witty, entertaining, ironic, insightful	Cross Dresser, Transvestite, Female Impersonator	
Dan Brown	Dan Brown	male	Boston	Massachusetts	USA		married		writing pot-boilers	gold-plated bookmobile	nails of the holy cross	Harris tweed	The Da Vinci Code, Popular fiction,	literature				The Da Vinci Code, Robert Langdon			unimaginative, hackneyed, contrived, formulaic	prolific, widely-read, popular,bestselling	Writer, Novelist	
Robert Langdon	Robert Langdon	male	Cambridge	Massachusetts	USA		single	The Illuminati	studying symbols, studying icons, following clues	Da Vinci's helicopter	holy hand grenade of Antioch	Harris tweed jacket, Mickey Mouse watch	Symbology, Religious Iconology	religion, philosophy	fictional	Dan Brown	Tom Hanks		Harvard University	The Da Vinci Code	claustrophobic, pretentious, know-it-all	brilliant, analytical, memorious, tenacious, learned, intrepid	Professor, Symbologist,	Dbd
Dan Quayle	Dan Quayle	male	Indianapolis	Indiana	USA	right	married	Llyod Bentsen	campaigning for the senate		potatoe gun	dunce cap	American politics, the Right	politics					The Republican Party		stupid, inept, obtuse, unintelligent, vapid	handsome, chiseled, cleancut	Politician, Vice President	
Daniel Craig	Daniel Craig	male		Warwickshire	USA	left	married		starring in action movies, starring in indy movies, playing James Bond	Aston Martin V12 Vantage Roadster	Walther PPK	tuxedo	Acting, James Bond	movies							craggy,	intense, tough, rugged,	Actor, Action Star	
Daniel Boone	Daniel Boone	male	Defiance	Missouri	USA				hunting raccoons	horse	musket	raccoon-skin cap	the American West,	history, culture		Harry Carey, Jr.					sweaty, primitive, unsophisticated	tough, adventurous, capable, intrepid, rugged	Hunter, Adventurer, Outdoorsman	
Dante Alighieri	Dante Alighieri	male		Florence	Italy		single		writing poetry	horse-drawn carriage	incisive wit	doublet	Italian literature, Italian poetry	poetry, literature				The Inferno, The Divine Comedy			sharp-tongued, bitter, disappointed, lovelorn	witty, poetic, lyrical, eloquent,	Writer, Poet	
Darth Maul	Darth Maul	male			Dathomir	right	single	Obi-wan Kenobi, Qui-Gon Jinn	promoting the Dark Side, fighting the forces of good, duelling acrobatically	Sith Infiltrator	double-edged lightsaber	red face-paint, ninja suit	Star Wars, the Dark Side	science fiction	fictional	Ray Park	George Lucas		The Sith	Star Wars: The Phantom Menace, Star Wars	evil, violent, unfeeling, malevolent	skillful, graceful, balletic, nimble, cunning	Villain, Henchman, Jedi Knight	Dra, Tc, Dbd
Darth Vader	Darth Vader	male			Tatooine	right	single	Obi-wan Kenobi, Luke Skywalker, Yoda	promoting the Dark Side, working for the forces of darkness, fighting the forces of good, duelling acrobatically	imperial battle cruiser	Jedi lightsaber, Jedi chokehold	black cape, cool helmet, black leather trousers, knee-high boots	Star Wars, the Dark Side	science fiction	fictional	James Earl Jones	George Lucas	The Death Star	The Sith	Star Wars, The Empire Strikes Back, Return of the Jedi	evil, violent, unfeeling, malevolent, raspy, ruthless	skillful, graceful, balletic, nimble, cunning, tall, strong, spiritual, deep-voiced	Villain, Father, Henchman, Jedi Knight	Dra, Tc, Dbd
Davy Crockett	Davy Crockett	male		Tennessee	USA	libertarian	married	Santa Anna	hunting raccoons, defending freedom	horse	hunting knife, musket rifle	raccoon-skin cap	American politics	history, culture, politics		John Wayne				The Alamo	old-fashioned, unrefined, self-promoting, boastful	heroic, daring, intrepid, adventurous, brave, outdoorsy, patriotic, rebellious, sharpshooting, tale-spinning, larger-than-life	Frontiersman, Politician, Hero, Hunter, Outdoorsman	H
David Beckham	David Beckham	male	Leytonstone	London	UK		married to Posh Spice	Sir Alex Ferguson	playing soccer, promoting hair products	Bentley Continental	golden boot	football boots	English soccer, Soccer	sport					Manchester United, Rio Madrid		dumb, inarticulate, shallow, unthinking	graceful, handsome, agile, fit	Sportsman, Athlete, Footballer, Fashion Model	
David Blaine	David Blaine	male	Manhattan	New York City	USA			David Copperfield	performing street magic, performing magic tricks	BMW motorcycle	street magic	scruffy jeans, scruffy T-shirt	Magic, Street Magic	television, magic							crass, egotistical, narcissistic, attention-grabbing	skillful, compelling, dexterous, entertaining	Magician	
